iter	MultiClass
0	1.023109943
1	0.9659519901
2	0.9178397174
3	0.863365831
4	0.8185349211
5	0.7840175644
6	0.7499879948
7	0.715059074
8	0.6878272557
9	0.6595881779
10	0.6320374243
11	0.609470029
12	0.5847686719
13	0.562339372
14	0.5436706412
15	0.525526424
16	0.5107412156
17	0.4941118542
18	0.4793693526
19	0.4664642173
20	0.4521764049
21	0.4376492433
22	0.4265903649
23	0.413851523
24	0.4020349379
25	0.3905063308
26	0.3805365632
27	0.3710836593
28	0.36153952
29	0.3525727175
30	0.3438428089
31	0.3357306563
32	0.3288933323
33	0.3219499996
34	0.3160923366
35	0.3096208346
36	0.30244138
37	0.2959701251
38	0.2900229522
39	0.284325026
40	0.2803207281
41	0.2742789829
42	0.2693363326
43	0.2646719659
44	0.2596160456
45	0.2553265881
46	0.2507019028
47	0.2458415503
48	0.2415482527
49	0.2369957792
50	0.2317006027
51	0.2273030503
52	0.2243913411
53	0.2207192237
54	0.2177311128
55	0.2145345751
56	0.2117821335
57	0.2089286288
58	0.2062408075
59	0.2033889959
60	0.2005311598
61	0.1984155355
62	0.1959927963
63	0.1930210396
64	0.1898861339
65	0.1879914685
66	0.1853258301
67	0.1824978489
68	0.179854745
69	0.177794008
70	0.1759827762
71	0.1739311602
72	0.1721558129
73	0.1697780656
74	0.1674747963
75	0.1656021775
76	0.1631111233
77	0.1614872278
78	0.1597850607
79	0.1572215461
80	0.1554518347
81	0.1534446238
82	0.1509377394
83	0.1492840249
84	0.1473876586
85	0.1454070116
86	0.143677426
87	0.1416576869
88	0.138800982
89	0.1367884441
90	0.1354622986
91	0.1338118285
92	0.1325136895
93	0.1304238177
94	0.1287476404
95	0.127431468
96	0.125732862
97	0.1244753183
98	0.1232065012
99	0.1217552376
100	0.1202950101
101	0.1184120214
102	0.1163529789
103	0.1142495419
104	0.1128950844
105	0.1120050998
106	0.1106221896
107	0.1096526558
108	0.1085723125
109	0.1077571878
110	0.1060793622
111	0.1047721908
112	0.1035151
113	0.1022018715
114	0.1004260798
115	0.09953571774
116	0.09817440751
117	0.09785956924
118	0.09678222891
119	0.09584247841
120	0.09467420565
121	0.09355979897
122	0.09288166869
123	0.09211103595
124	0.09134034436
125	0.09039458724
126	0.08928645321
127	0.0882041481
128	0.08758756982
129	0.08661609266
130	0.08611091866
131	0.0855704119
132	0.08463492251
133	0.08361584616
134	0.08291518196
135	0.08232940734
136	0.08155915341
137	0.08049143703
138	0.07977111819
139	0.07914524812
140	0.07834394755
141	0.07751235875
142	0.07701436778
143	0.07648431572
144	0.075834948
145	0.07532203297
146	0.07498601671
147	0.07449753235
148	0.07408538401
149	0.07357467084
150	0.07278180421
151	0.07231685502
152	0.07195563733
153	0.07136381404
154	0.07078566417
155	0.07041971386
156	0.06972176272
157	0.06930313351
158	0.06856709805
159	0.06820804498
160	0.06774079031
161	0.06703399467
162	0.06674486596
163	0.06613328541
164	0.06572440169
165	0.06507194185
166	0.06438932971
167	0.06392689891
168	0.06359029927
169	0.06314919255
170	0.06265003715
171	0.06211912282
172	0.06184094963
173	0.06134454799
174	0.06090868706
175	0.06059059192
176	0.0600295908
177	0.05976692975
178	0.05916961123
179	0.05870667307
180	0.05819344124
181	0.05776933728
182	0.05748362248
183	0.05722727572
184	0.05687151833
185	0.05627228095
186	0.05580232078
187	0.05547595924
188	0.05516140796
189	0.05467732975
190	0.05426779858
191	0.05411810377
192	0.05371805942
193	0.05343815238
194	0.0530787988
195	0.05283048358
196	0.05254949268
197	0.05218112894
198	0.05201862292
199	0.05180893342
200	0.05148967356
201	0.05120296321
202	0.05094219954
203	0.05060540656
204	0.05016795788
205	0.04993967168
206	0.04970569247
207	0.04937689878
208	0.0490586441
209	0.04887289564
210	0.04855233658
211	0.04820891521
212	0.04795426468
